id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
1;Jean-François Lamour;LES-REP;3;0;0;1
2;Jean-Michel Clément;SRC;2;0;0;2
6;Charles de Courson;UDI;1;0;3;4
7;Christian Paul;SRC;24;0;0;1
8;Jean-Pierre Dufau;SRC;0;11;18;3
9;Hervé Féron;SRC;26;17;3;2
10;Jean-Louis Touraine;SRC;8;0;0;2
11;Paul Giacobbi;RRDP;1;1;0;3
12;Marc Le Fur;LES-REP;3;21;42;1
13;Jean-René Marsac;SRC;2;0;0;3
14;Jean Leonetti;LES-REP;3;0;0;1
15;Valérie Fourneyron;SRC;0;0;0;2
16;François de Rugy;ECOLO;10;4;0;1
17;Jérôme Chartier;LES-REP;3;0;0;2
18;Armand Jung;SRC;0;0;0;1
19;Francis Hillmeyer;UDI;1;2;0;2
20;Patrick Lemasle;SRC;0;0;0;1
22;Patrice Verchère;LES-REP;3;0;3;1
23;Hervé Gaymard;LES-REP;3;0;0;3
24;Paul Salen;LES-REP;4;0;0;1
26;Pascale Got;SRC;0;0;0;1
27;Françoise Guégot;LES-REP;3;0;1;1
29;Thierry Mariani;LES-REP;4;1;0;1
30;Franck Reynier;UDI;1;0;0;1
31;Annick Lepetit;SRC;24;0;0;1
32;Noël Mamère;ECOLO;10;0;1;1
33;François Scellier;LES-REP;5;0;0;3
34;Gérard Cherpion;LES-REP;3;4;1;2
35;Jacqueline Fraysse;GDR;0;6;0;1
36;Maurice Leroy;UDI;1;0;1;1
38;François Cornut-Gentille;LES-REP;3;0;0;2
40;René Dosière;SRC;3;0;0;1
41;Martine Carrillon-Couvreur;SRC;8;3;1;2
43;Michel Voisin;LES-REP;3;0;0;1
44;Pascal Terrasse;SRC;2;0;0;3
45;Bruno Le Roux;SRC;0;18;2;2
47;Jean-Claude Mignon;LES-REP;3;0;0;2
48;Alain Rousset;SRC;0;0;2;1
50;Éric Ciotti;LES-REP;4;0;3;2
52;Christian Bataille;SRC;0;0;0;1
53;Jean-Jacques Urvoas;SRC;2;0;1;2
54;Marcel Rogemont;SRC;26;50;151;2
55;Françoise Imbert;SRC;4;0;0;2
57;Monique Iborra;SRC;8;0;0;2
58;Claude Goasguen;LES-REP;3;0;3;1
59;Daniel Fasquelle;LES-REP;3;0;1;1
60;Marie-Louise Fort;LES-REP;4;0;0;3
61;François Fillon;LES-REP;3;0;0;1
62;Thierry Benoit;UDI;1;10;7;1
63;Marc Dolez;GDR;0;0;3;2
64;Philippe Vigier;UDI;1;11;0;2
67;Marie-Odile Bouillé;SRC;24;5;5;2
68;Jean-Pierre Gorges;LES-REP;3;0;0;2
